Catégorie : Toutes catégories

Mois,jobs: (États-Unis),resume: (États-Unis)
2004-01,56,11
2004-02,51,11
2004-03,53,10
2004-04,53,10
2004-05,57,10
2004-06,58,10
2004-07,56,10
2004-08,54,9
2004-09,51,10
2004-10,48,9
2004-11,46,8
2004-12,42,7
2005-01,53,10
2005-02,48,10
2005-03,49,9
2005-04,50,9
2005-05,52,9
2005-06,54,9
2005-07,52,9
2005-08,51,9
2005-09,50,9
2005-10,46,9
2005-11,44,7
2005-12,39,6
2006-01,51,10
2006-02,46,9
2006-03,46,9
2006-04,47,9
2006-05,50,9
2006-06,52,8
2006-07,51,8
2006-08,51,9
2006-09,47,9
2006-10,46,8
2006-11,43,7
2006-12,39,6
2007-01,54,9
2007-02,48,8
2007-03,49,9
2007-04,50,8
2007-05,52,8
2007-06,55,8
2007-07,55,8
2007-08,54,8
2007-09,53,9
2007-10,51,8
2007-11,48,7
2007-12,43,6
2008-01,59,9
2008-02,52,9
2008-03,56,8
2008-04,58,8
2008-05,58,8
2008-06,62,8
2008-07,62,8
2008-08,60,8
2008-09,63,9
2008-10,63,8
2008-11,60,7
2008-12,57,6
2009-01,76,9
2009-02,66,8
2009-03,66,8
2009-04,62,8
2009-05,66,8
2009-06,71,8
2009-07,68,8
2009-08,69,8
2009-09,68,9
2009-10,65,8
2009-11,60,7
2009-12,55,6
2010-01,71,9
2010-02,64,8
2010-03,66,8
2010-04,67,8
2010-05,68,8
2010-06,72,8
2010-07,67,7
2010-08,66,7
2010-09,63,8
2010-10,57,7
2010-11,55,7
2010-12,49,6
2011-01,72,9
2011-02,65,8
2011-03,66,9
2011-04,66,8
2011-05,69,9
2011-06,74,8
2011-07,70,8
2011-08,76,8
2011-09,70,8
2011-10,100,8
2011-11,61,7
2011-12,53,6
2012-01,68,8
2012-02,61,8
2012-03,61,7
2012-04,64,7
2012-05,67,7
2012-06,68,7
2012-07,67,7
2012-08,68,7
2012-09,65,7
2012-10,61,7
2012-11,55,6
2012-12,50,5
2013-01,67,8
2013-02,60,7
2013-03,60,7
2013-04,64,7
2013-05,66,7
2013-06,66,7
2013-07,69,7
2013-08,71,7
2013-09,66,7
2013-10,62,7
2013-11,57,6
2013-12,53,5
2014-01,68,7
2014-02,63,7
2014-03,62,7
2014-04,66,7
2014-05,68,7
2014-06,69,7
2014-07,70,7
2014-08,67,7
2014-09,66,7
2014-10,63,7
2014-11,55,6
2014-12,52,5
2015-01,64,7
2015-02,59,7
2015-03,62,7
2015-04,63,7
2015-05,65,6
2015-06,69,6
2015-07,69,6
2015-08,70,6
2015-09,65,7
2015-10,63,6
2015-11,55,5
2015-12,51,5
2016-01,66,6
2016-02,62,6
2016-03,62,6
2016-04,63,6
2016-05,66,6
2016-06,66,5
2016-07,63,5
2016-08,64,5
2016-09,63,6
2016-10,59,5
2016-11,55,5
2016-12,51,4
2017-01,66,6
2017-02,62,6
2017-03,62,6
2017-04,61,6
2017-05,66,5
2017-06,70,5
2017-07,68,5
2017-08,71,5
2017-09,64,5
2017-10,63,5
2017-11,58,5
2017-12,55,4
2018-01,70,6
2018-02,63,6
2018-03,63,5
2018-04,65,6
2018-05,66,5
2018-06,72,5
2018-07,70,5
2018-08,72,5
2018-09,65,5
2018-10,64,5
2018-11,59,4
2018-12,56,4
2019-01,70,6
2019-02,66,5
2019-03,63,5
2019-04,67,5
2019-05,68,5
2019-06,73,5
2019-07,71,5
2019-08,73,5
2019-09,67,5
2019-10,65,5
2019-11,60,4
2019-12,59,4
2020-01,74,6
2020-02,65,5
2020-03,57,4
2020-04,47,4
2020-05,53,4
2020-06,62,5
2020-07,61,4
2020-08,60,5
2020-09,58,5
2020-10,56,4
2020-11,51,4
