Catégorie : Toutes catégories

Mois,file for unemployment: (États-Unis),unemployment office: (États-Unis),unemployment benefits: (États-Unis),unemployment claim: (États-Unis)
2004-01,1,7,6,1
2004-02,1,5,5,1
2004-03,1,5,5,< 1
2004-04,< 1,5,5,1
2004-05,< 1,6,4,1
2004-06,< 1,6,5,1
2004-07,< 1,6,4,1
2004-08,1,6,4,1
2004-09,1,5,4,< 1
2004-10,< 1,5,4,1
2004-11,< 1,5,3,1
2004-12,1,4,3,1
2005-01,1,5,4,1
2005-02,< 1,5,4,1
2005-03,< 1,5,3,1
2005-04,< 1,5,3,1
2005-05,< 1,6,3,1
2005-06,1,5,3,1
2005-07,1,5,3,1
2005-08,< 1,5,4,1
2005-09,< 1,6,3,1
2005-10,1,5,3,1
2005-11,1,5,3,1
2005-12,1,5,3,1
2006-01,1,6,3,1
2006-02,1,5,3,1
2006-03,< 1,5,3,1
2006-04,< 1,4,3,1
2006-05,1,4,3,1
2006-06,1,6,3,1
2006-07,1,5,4,1
2006-08,1,6,4,1
2006-09,1,5,3,1
2006-10,1,5,4,1
2006-11,1,5,4,1
2006-12,1,5,3,1
2007-01,1,7,4,1
2007-02,< 1,5,4,1
2007-03,1,5,5,1
2007-04,1,5,4,1
2007-05,1,5,4,1
2007-06,1,6,5,1
2007-07,1,6,6,1
2007-08,1,6,6,1
2007-09,1,5,5,1
2007-10,1,6,5,1
2007-11,1,6,5,1
2007-12,1,5,6,1
2008-01,1,7,7,1
2008-02,1,6,7,1
2008-03,1,6,7,1
2008-04,1,6,7,1
2008-05,1,6,7,1
2008-06,1,7,9,1
2008-07,1,8,8,2
2008-08,1,8,8,2
2008-09,1,8,12,2
2008-10,2,9,15,2
2008-11,2,10,20,3
2008-12,2,12,19,5
2009-01,3,14,26,6
2009-02,3,12,28,5
2009-03,3,12,20,5
2009-04,2,12,19,5
2009-05,2,11,18,6
2009-06,2,11,19,7
2009-07,3,12,20,7
2009-08,3,11,21,7
2009-09,2,10,22,8
2009-10,2,8,24,8
2009-11,2,9,26,10
2009-12,2,9,20,11
2010-01,3,10,20,12
2010-02,2,8,19,10
2010-03,2,7,24,10
2010-04,2,7,21,9
2010-05,2,6,18,10
2010-06,2,8,26,11
2010-07,2,9,31,9
2010-08,2,8,14,9
2010-09,2,7,12,7
2010-10,2,7,11,7
2010-11,2,7,13,7
2010-12,2,7,20,7
2011-01,3,10,16,11
2011-02,3,8,13,9
2011-03,2,7,12,6
2011-04,2,7,11,7
2011-05,2,8,11,9
2011-06,3,8,11,9
2011-07,2,8,11,11
2011-08,2,8,11,11
2011-09,2,7,11,11
2011-10,2,7,10,11
2011-11,2,8,9,8
2011-12,2,8,11,8
2012-01,3,10,11,9
2012-02,2,7,10,8
2012-03,2,7,8,8
2012-04,2,7,8,8
2012-05,2,7,8,8
2012-06,2,8,8,8
2012-07,2,9,9,8
2012-08,2,9,8,6
2012-09,2,8,9,7
2012-10,2,9,8,7
2012-11,2,9,9,7
2012-12,2,7,15,7
2013-01,3,10,14,8
2013-02,2,8,9,6
2013-03,2,6,9,5
2013-04,2,7,8,5
2013-05,2,7,9,5
2013-06,2,7,9,6
2013-07,2,8,8,6
2013-08,2,7,7,5
2013-09,2,7,8,6
2013-10,2,8,10,6
2013-11,2,7,7,6
2013-12,2,8,10,7
2014-01,3,9,24,7
2014-02,2,7,17,5
2014-03,2,6,15,5
2014-04,2,5,15,5
2014-05,2,5,11,4
2014-06,2,6,9,4
2014-07,2,6,7,4
2014-08,1,5,6,4
2014-09,2,5,7,3
2014-10,2,5,6,3
2014-11,2,5,5,4
2014-12,2,5,5,4
2015-01,2,7,5,4
2015-02,2,5,5,4
2015-03,1,5,5,4
2015-04,2,5,4,3
2015-05,1,5,4,3
2015-06,2,5,5,4
2015-07,2,6,5,4
2015-08,2,5,5,4
2015-09,2,5,4,3
2015-10,2,5,4,3
2015-11,1,5,4,4
2015-12,2,6,5,4
2016-01,2,7,6,5
2016-02,2,6,5,4
2016-03,2,5,4,4
2016-04,2,5,4,3
2016-05,1,5,5,4
2016-06,2,5,5,4
2016-07,2,6,4,4
2016-08,2,5,4,4
2016-09,2,5,4,3
2016-10,1,5,5,3
2016-11,2,5,4,4
2016-12,2,6,4,4
2017-01,2,7,5,5
2017-02,2,5,4,4
2017-03,1,5,4,3
2017-04,1,4,4,3
2017-05,2,5,4,3
2017-06,2,6,4,3
2017-07,2,5,4,4
2017-08,1,5,4,3
2017-09,2,4,4,3
2017-10,1,5,4,3
2017-11,2,5,4,3
2017-12,2,5,4,3
2018-01,2,7,5,4
2018-02,2,5,4,4
2018-03,1,4,3,3
2018-04,1,4,3,3
2018-05,1,4,3,3
2018-06,2,5,4,3
2018-07,2,6,4,3
2018-08,1,5,3,3
2018-09,1,4,3,3
2018-10,2,4,4,3
2018-11,2,5,3,3
2018-12,2,5,3,4
2019-01,3,6,5,4
2019-02,2,5,4,3
2019-03,2,4,4,3
2019-04,2,4,4,3
2019-05,2,4,4,3
2019-06,2,5,4,3
2019-07,2,6,4,4
2019-08,2,5,4,3
2019-09,2,4,4,3
2019-10,2,5,4,3
2019-11,2,5,4,3
2019-12,2,5,4,4
2020-01,2,6,4,4
2020-02,2,5,4,3
2020-03,40,25,48,24
2020-04,49,33,100,68
2020-05,23,21,56,49
2020-06,17,21,47,39
2020-07,14,17,54,34
2020-08,9,12,63,27
2020-09,7,10,40,21
2020-10,6,9,29,19
2020-11,5,7,23,16
