Catégorie : Toutes catégories

Mois,inflation: (Allemagne),preise: (Allemagne),CPI: (Allemagne),billig: (Allemagne)
2004-01,3,62,1,77
2004-02,2,62,1,72
2004-03,2,61,1,72
2004-04,2,61,1,76
2004-05,2,60,1,82
2004-06,2,63,2,88
2004-07,1,60,1,99
2004-08,2,62,1,92
2004-09,2,61,1,82
2004-10,2,60,1,82
2004-11,3,57,1,69
2004-12,2,56,1,67
2005-01,2,58,1,77
2005-02,2,54,1,77
2005-03,2,57,1,77
2005-04,3,55,1,72
2005-05,2,52,2,74
2005-06,2,56,1,83
2005-07,1,58,2,93
2005-08,1,55,1,85
2005-09,1,50,1,77
2005-10,2,50,1,66
2005-11,2,49,1,61
2005-12,2,45,1,60
2006-01,2,48,1,68
2006-02,2,47,1,63
2006-03,2,48,1,64
2006-04,1,47,2,66
2006-05,2,45,1,64
2006-06,2,45,2,67
2006-07,1,48,2,75
2006-08,1,50,2,67
2006-09,2,48,1,60
2006-10,2,44,1,53
2006-11,2,42,1,50
2006-12,1,42,1,50
2007-01,2,43,1,55
2007-02,2,43,2,54
2007-03,2,43,2,56
2007-04,2,42,2,52
2007-05,2,42,2,53
2007-06,1,43,2,59
2007-07,1,46,2,65
2007-08,1,46,2,56
2007-09,2,44,2,52
2007-10,2,42,2,49
2007-11,3,44,1,49
2007-12,2,40,1,46
2008-01,3,45,1,52
2008-02,3,42,2,50
2008-03,2,43,2,50
2008-04,3,42,2,47
2008-05,2,42,2,49
2008-06,3,43,2,51
2008-07,3,47,2,54
2008-08,2,44,2,46
2008-09,2,40,2,40
2008-10,3,41,1,39
2008-11,3,40,1,37
2008-12,2,38,1,36
2009-01,2,42,1,40
2009-02,3,43,1,39
2009-03,4,42,2,38
2009-04,3,45,2,36
2009-05,3,45,2,34
2009-06,2,50,2,40
2009-07,2,53,2,41
2009-08,1,53,2,36
2009-09,2,51,2,34
2009-10,2,53,1,33
2009-11,2,52,1,30
2009-12,2,50,1,30
2010-01,2,58,1,35
2010-02,2,59,1,32
2010-03,2,62,2,33
2010-04,2,61,2,30
2010-05,5,60,2,31
2010-06,2,58,2,31
2010-07,1,59,1,33
2010-08,1,62,1,31
2010-09,2,56,1,28
2010-10,2,54,1,26
2010-11,2,51,1,25
2010-12,2,47,1,23
2011-01,3,69,1,33
2011-02,3,67,1,31
2011-03,2,69,1,30
2011-04,2,70,1,32
2011-05,3,66,1,30
2011-06,2,71,1,32
2011-07,2,77,1,34
2011-08,3,80,1,32
2011-09,2,72,1,29
2011-10,3,70,1,27
2011-11,3,68,1,24
2011-12,3,65,1,25
2012-01,3,73,1,29
2012-02,2,75,1,27
2012-03,2,77,1,29
2012-04,2,78,1,30
2012-05,2,75,1,28
2012-06,2,76,1,28
2012-07,2,85,1,32
2012-08,2,85,1,31
2012-09,3,78,1,28
2012-10,2,75,1,26
2012-11,2,71,1,24
2012-12,2,68,< 1,23
2013-01,2,74,< 1,25
2013-02,2,71,1,23
2013-03,2,77,1,24
2013-04,2,75,1,24
2013-05,2,79,1,24
2013-06,2,75,1,24
2013-07,1,81,1,27
2013-08,1,87,1,25
2013-09,2,77,1,24
2013-10,2,74,1,23
2013-11,2,70,1,22
2013-12,2,70,1,21
2014-01,2,80,1,24
2014-02,2,75,1,22
2014-03,2,74,1,22
2014-04,2,76,1,21
2014-05,2,75,1,22
2014-06,2,76,1,23
2014-07,1,77,1,24
2014-08,1,89,1,24
2014-09,2,76,1,22
2014-10,2,74,1,20
2014-11,2,71,1,19
2014-12,2,68,< 1,20
2015-01,3,80,1,22
2015-02,2,79,1,20
2015-03,2,81,1,20
2015-04,2,80,1,19
2015-05,2,78,1,22
2015-06,2,79,1,21
2015-07,1,86,1,21
2015-08,1,91,1,20
2015-09,2,84,1,18
2015-10,2,79,1,18
2015-11,2,72,< 1,17
2015-12,2,78,1,17
2016-01,2,84,< 1,19
2016-02,2,85,1,18
2016-03,2,84,1,18
2016-04,2,80,1,18
2016-05,2,84,1,17
2016-06,2,75,1,17
2016-07,1,93,1,19
2016-08,1,93,1,18
2016-09,2,81,1,16
2016-10,2,83,1,15
2016-11,2,74,< 1,15
2016-12,2,77,< 1,16
2017-01,2,87,< 1,17
2017-02,2,84,1,15
2017-03,2,83,< 1,14
2017-04,2,88,1,15
2017-05,2,83,1,15
2017-06,1,91,1,17
2017-07,1,97,1,16
2017-08,1,95,< 1,15
2017-09,1,84,< 1,15
2017-10,1,90,1,14
2017-11,2,78,< 1,14
2017-12,2,76,< 1,13
2018-01,2,86,< 1,14
2018-02,2,82,< 1,12
2018-03,2,86,< 1,13
2018-04,2,85,1,14
2018-05,2,88,1,15
2018-06,2,81,< 1,14
2018-07,1,96,1,15
2018-08,2,97,1,15
2018-09,2,88,< 1,14
2018-10,2,88,< 1,13
2018-11,2,79,< 1,13
2018-12,2,78,< 1,12
2019-01,2,85,< 1,12
2019-02,2,81,< 1,12
2019-03,2,78,< 1,12
2019-04,1,88,1,15
2019-05,2,80,1,13
2019-06,1,90,< 1,13
2019-07,1,100,< 1,14
2019-08,1,97,< 1,14
2019-09,2,84,< 1,13
2019-10,2,84,< 1,11
2019-11,2,76,< 1,11
2019-12,2,78,< 1,12
2020-01,2,88,< 1,12
2020-02,2,80,< 1,10
2020-03,4,55,< 1,9
2020-04,4,50,1,9
2020-05,3,61,< 1,9
2020-06,2,71,1,9
2020-07,2,81,< 1,9
2020-08,2,75,< 1,8
2020-09,2,73,< 1,8
2020-10,2,66,< 1,7
2020-11,2,49,< 1,7
