Catégorie : Toutes catégories

Mois,Jobs: (États-Unis),Unemployment: (États-Unis)
2004-01,52,5
2004-02,46,5
2004-03,48,4
2004-04,48,4
2004-05,51,4
2004-06,52,4
2004-07,51,4
2004-08,50,4
2004-09,46,4
2004-10,44,4
2004-11,42,4
2004-12,39,4
2005-01,49,5
2005-02,44,4
2005-03,44,4
2005-04,46,4
2005-05,48,4
2005-06,49,4
2005-07,47,4
2005-08,47,4
2005-09,46,4
2005-10,42,4
2005-11,39,4
2005-12,35,4
2006-01,47,5
2006-02,42,4
2006-03,43,4
2006-04,43,4
2006-05,47,4
2006-06,46,4
2006-07,47,4
2006-08,47,4
2006-09,43,4
2006-10,42,4
2006-11,39,4
2006-12,35,4
2007-01,50,5
2007-02,43,4
2007-03,45,4
2007-04,46,4
2007-05,49,4
2007-06,49,4
2007-07,50,4
2007-08,50,4
2007-09,48,4
2007-10,47,4
2007-11,42,4
2007-12,39,5
2008-01,54,6
2008-02,49,5
2008-03,51,5
2008-04,52,5
2008-05,53,5
2008-06,56,6
2008-07,56,6
2008-08,53,6
2008-09,59,7
2008-10,57,8
2008-11,55,10
2008-12,51,12
2009-01,68,14
2009-02,61,14
2009-03,60,14
2009-04,56,13
2009-05,60,12
2009-06,65,13
2009-07,64,13
2009-08,63,13
2009-09,61,13
2009-10,60,14
2009-11,55,15
2009-12,50,14
2010-01,64,15
2010-02,58,14
2010-03,60,15
2010-04,60,14
2010-05,61,12
2010-06,66,16
2010-07,60,19
2010-08,60,12
2010-09,58,11
2010-10,53,11
2010-11,50,11
2010-12,45,14
2011-01,66,15
2011-02,60,13
2011-03,61,11
2011-04,59,11
2011-05,63,11
2011-06,66,12
2011-07,63,12
2011-08,69,11
2011-09,63,11
2011-10,92,11
2011-11,55,11
2011-12,49,12
2012-01,62,14
2012-02,56,12
2012-03,56,10
2012-04,58,11
2012-05,61,10
2012-06,63,10
2012-07,61,11
2012-08,61,10
2012-09,58,10
2012-10,56,10
2012-11,51,11
2012-12,45,11
2013-01,60,12
2013-02,55,9
2013-03,56,9
2013-04,60,9
2013-05,60,8
2013-06,61,8
2013-07,63,9
2013-08,65,8
2013-09,61,8
2013-10,57,9
2013-11,53,8
2013-12,48,10
2014-01,62,14
2014-02,57,11
2014-03,56,10
2014-04,61,10
2014-05,62,9
2014-06,62,7
2014-07,64,7
2014-08,62,6
2014-09,61,6
2014-10,57,6
2014-11,50,6
2014-12,48,6
2015-01,60,7
2015-02,55,6
2015-03,57,6
2015-04,57,6
2015-05,60,5
2015-06,62,6
2015-07,61,6
2015-08,62,5
2015-09,60,5
2015-10,57,5
2015-11,50,5
2015-12,47,6
2016-01,59,7
2016-02,56,6
2016-03,57,5
2016-04,57,5
2016-05,59,5
2016-06,62,5
2016-07,58,5
2016-08,59,5
2016-09,57,4
2016-10,55,4
2016-11,50,5
2016-12,47,5
2017-01,60,7
2017-02,55,5
2017-03,56,5
2017-04,57,5
2017-05,59,4
2017-06,63,5
2017-07,64,5
2017-08,64,4
2017-09,59,4
2017-10,58,4
2017-11,54,4
2017-12,50,5
2018-01,63,7
2018-02,57,5
2018-03,58,4
2018-04,59,5
2018-05,61,4
2018-06,64,4
2018-07,63,5
2018-08,66,4
2018-09,60,4
2018-10,59,4
2018-11,54,4
2018-12,50,5
2019-01,64,6
2019-02,60,5
2019-03,57,4
2019-04,62,4
2019-05,63,4
2019-06,65,4
2019-07,66,4
2019-08,65,4
2019-09,60,4
2019-10,61,4
2019-11,54,4
2019-12,53,5
2020-01,68,6
2020-02,61,5
2020-03,51,43
2020-04,43,100
2020-05,49,71
2020-06,55,60
2020-07,54,58
2020-08,55,53
2020-09,52,44
2020-10,52,33
2020-11,47,29
